,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
2018EDIBLE," 32,549 "," 23,449 "," 25,925 "," 30,233 "," 24,213 "," 18,077 "," 23,213 "," 29,972 "," 18,717 "," 31,539 "," 23,921 "," 26,371 ",
2018SACHET," 3,860 "," 3,289 "," 2,920 "," 3,963 "," 3,425 "," 3,625 "," 3,569 "," 2,970 "," 3,399 "," 3,742 "," 4,785 "," 4,275 ",
2018PDV, 49 , 49 , 23 , 160 , 138 , 266 , 196 , 217 , 526 , 495 , 625 , 640 ,
2018OTHERS," 4,362 "," 3,228 "," 3,478 "," 3,213 "," 3,010 "," 2,841 "," 4,036 "," 3,835 "," 2,446 "," 3,445 "," 2,908 "," 3,661 ",
2018SEASONING, 165 , 135 , 142 , 121 , 124 , 69 , 118 , 91 , 163 , 129 , 185 , 271 ,
2019EDIBLE," 26,269 "," 23,083 "," 28,109 "," 22,236 "," 20,551 "," 23,990 "," 31,265 "," 29,895 "," 19,488 "," 22,720 "," 27,769 "," 22,089 ",
2019SACHET," 4,220 "," 3,832 "," 5,204 "," 3,882 "," 3,989 "," 3,018 "," 3,524 "," 3,924 "," 3,732 "," 3,931 "," 4,111 "," 2,870 ",
2019PDV, 176 , 970 , 675 , 844 , 421 , 442 , 833 ," 1,305 "," 1,080 ", 950 ," 1,661 "," 1,502 ",
2019OTHERS," 3,537 "," 3,330 "," 4,104 "," 3,447 "," 2,663 "," 3,090 "," 4,363 "," 5,600 "," 3,690 "," 3,213 "," 3,898 "," 2,459 ",
2019SEASONING, 272 , 184 , 266 , 234 , 278 , 394 , 398 , 280 , 387 , 394 , 320 , 330 ,
2020EDIBLE," 24,771 "," 21,043 "," 26,109 "," 33,016 "," 23,616 "," 27,987 "," 30,231 "," 20,039 "," 22,685 "," 17,475 "," 26,645 "," 16,334 ",
2020SACHET," 4,223 "," 3,980 "," 4,578 "," 3,800 "," 3,597 "," 3,670 "," 3,067 "," 3,498 "," 4,027 "," 3,684 "," 3,265 "," 2,371 ",
2020PDV," 1,225 "," 1,900 "," 1,070 ", 475 ," 1,038 "," 2,087 "," 1,395 "," 1,223 "," 1,708 "," 1,121 ", 960 ," 1,285 ",
2020OTHERS," 2,886 "," 4,374 "," 3,451 "," 3,574 "," 4,347 "," 3,277 "," 2,392 "," 2,487 "," 3,922 "," 2,888 "," 4,847 "," 2,908 ",
2020SEASONING, 350 , 366 , 337 , 68 , 327 , 272 , 317 , 426 , 356 , 314 , 322 , 167 ,
2021EDIBLE," 31,486 "," 24,848 "," 18,734 "," 30,346 "," 20,046 "," 21,881 "," 19,762 "," 16,665 "," 15,030 "," 16,938 "," 27,093 "," 21,810 ",
2021SACHET," 4,289 "," 7,564 "," 4,548 "," 4,279 "," 3,415 "," 3,765 "," 2,897 "," 3,781 "," 4,845 "," 2,745 "," 3,700 "," 3,159 ",
2021PDV," 2,670 "," 2,058 "," 4,362 "," 4,551 "," 4,162 "," 4,137 "," 3,229 "," 5,682 "," 4,111 "," 1,527 "," 1,380 "," 1,668 ",
2021OTHERS," 2,849 "," 3,522 "," 3,192 "," 3,160 "," 4,601 "," 4,263 "," 3,161 "," 4,535 "," 2,408 "," 2,979 "," 4,590 "," 3,208 ",
2021SEASONING, 511 , 370 , 274 , 381 , 826 , 430 , 438 , 229 , 60 , 340 , 125 , 471 ,
2022EDIBLE," 20,770 "," 24,982 "," 28,170 "," 22,849 "," 37,512 "," 30,440 "," 29,294 "," 36,625 "," 17,979 "," 21,649 "," 30,867 "," 24,739 ",
2022SACHET, 342 ," 5,544 "," 6,431 "," 4,836 "," 3,891 "," 3,744 "," 5,544 "," 3,592 "," 3,883 "," 4,165 "," 5,712 "," 3,665 ",
2022PDV, 30 ," 2,839 "," 2,593 "," 3,475 "," 1,741 "," 2,325 "," 2,871 "," 3,906 "," 2,340 "," 2,091 "," 2,721 "," 3,009 ",
2022OTHERS, 543 ," 4,443 "," 3,154 "," 1,534 "," 1,760 "," 1,476 "," 2,411 "," 3,000 "," 1,858 "," 3,111 "," 2,824 "," 3,719 ",
2022SEASONING, 463 , 431 , 406 , 908 , 422 , 296 , 309 , 328 , 156 , 306 , 618 , 402 ,
2023EDIBLE," 19,312 "," 19,976 "," 22,617 "," 25,917 "," 25,122 "," 26,046 "," 30,635 "," 23,608 "," 17,887 "," 24,990 "," 28,652 "," 24,052 ",
2023SACHET," 6,223 "," 4,731 "," 3,853 "," 5,242 "," 5,437 "," 5,998 "," 5,624 "," 5,708 "," 6,317 "," 5,751 "," 5,025 "," 2,911 ",
2023PDV," 1,502 "," 3,102 ", 967 ," 4,402 ", 909 ," 1,530 "," 1,863 "," 3,946 "," 1,846 "," 1,508 "," 1,785 "," 3,380 ",
2023OTHERS," 7,709 "," 2,785 "," 3,413 "," 5,046 "," 6,672 "," 5,411 "," 3,047 "," 5,683 "," 6,335 "," 6,645 "," 5,996 "," 3,244 ",
2023SEASONING, 108 , 118 , 520 , 654 , 417 , 226 , 333 , 404 , 273 , 290 , 292 , 472 ,
